"nseq","Rayleigh","HR","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group"
1,0,0.0494,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0557,0.0451,NA,NA,0.1284,0.0481,0.0501,0.0373,0.047,0.0065
2,0.103,0.0793,0,0.0024,0.0893,0.091,0.0893,0.091,0.0714,0.0653,0.0839,0.0807,0.0714,0.0653,0.0875,0.0784,0.2343,0.0632,0.0625,0.0791,0.0627,0.0842
3,0.1532,0.1119,0,0.0549,0.1528,0.1371,0.1528,0.1371,0.0797,0.0786,0.2126,0.2049,0.0797,0.0786,0.2171,0.2175,0.3475,0.0775,0.0746,0.1088,0.0749,0.0905
4,0.2233,0.1608,0.3512,0.2431,0.2454,0.2398,0.2454,0.2398,0.0921,0.0933,0.3424,0.3327,0.0921,0.0933,0.3411,0.338,0.479,0.0987,0.0895,0.1435,0.0903,0.1095
5,0.2872,0.2168,0.2275,0.3539,0.3165,0.2898,0.3165,0.2898,0.1018,0.1044,0.446,0.4221,0.1018,0.1044,0.4528,0.4483,0.5671,0.1035,0.0997,0.1649,0.0999,0.1289
6,0.3538,0.2603,0.2762,0.4384,0.4116,0.4028,0.4116,0.4028,0.1147,0.1135,0.5507,0.5419,0.1147,0.1135,0.5533,0.5457,0.6518,0.1172,0.1163,0.1958,0.1166,0.1569
7,0.4313,0.3353,0.3798,0.518,0.5029,0.4991,0.5029,0.4991,0.1186,0.1145,0.6418,0.6379,0.1186,0.1145,0.6371,0.6273,0.7305,0.1248,0.1241,0.2177,0.1244,0.181
8,0.494,0.3941,0.4323,0.5903,0.5787,0.5827,0.5787,0.5827,0.1311,0.1258,0.7158,0.7208,0.1311,0.1258,0.7112,0.7062,0.7925,0.1461,0.1401,0.2539,0.1407,0.1948
9,0.5597,0.4587,0.4883,0.6518,0.6558,0.65,0.6558,0.65,0.1392,0.1322,0.7804,0.7784,0.1392,0.1322,0.7688,0.7637,0.8426,0.1649,0.1456,0.2892,0.1459,0.213
10,0.6151,0.5129,0.5379,0.7025,0.7155,0.7247,0.7155,0.7247,0.1517,0.149,0.8244,0.8332,0.1517,0.149,0.8185,0.8094,0.8792,0.1743,0.1616,0.3187,0.1623,0.2415
