"nseq","Rayleigh","HR","Model_comp","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group"
1,0,0.0522,0.0533,0,0,NA,NA,NA,NA,0.0654,0.0557,NA,NA,0.0654,0.0557,NA,NA,0.051,0.0446,0.0679,0.0302,0.0646,0.003
2,0.071,0.0646,0.0665,0,0.0027,0.066,0.0617,0.066,0.0617,0.0726,0.0679,0.0598,0.061,0.0726,0.0679,0.0601,0.0613,0.0659,0.0474,0.0844,0.0388,0.0833,0.036
3,0.0899,0.0752,0.0901,0,0.0312,0.0902,0.0853,0.0902,0.0853,0.0822,0.078,0.0928,0.0903,0.0822,0.078,0.0913,0.0916,0.0851,0.0518,0.1023,0.0435,0.1017,0.0361
4,0.1122,0.0858,0.1081,0.2096,0.1093,0.1171,0.1138,0.1171,0.1138,0.098,0.0914,0.1202,0.118,0.098,0.0914,0.123,0.1208,0.1046,0.0539,0.1187,0.0522,0.1191,0.0338
5,0.1324,0.1025,0.1387,0.0945,0.1447,0.1418,0.1398,0.1418,0.1398,0.1121,0.1093,0.1459,0.1456,0.1121,0.1093,0.1442,0.145,0.1176,0.0533,0.1325,0.0476,0.1326,0.0356
6,0.1579,0.1257,0.1621,0.1169,0.1748,0.172,0.1568,0.172,0.1568,0.1275,0.1313,0.175,0.1595,0.1275,0.1313,0.1767,0.1806,0.1381,0.0527,0.1563,0.0486,0.1565,0.0342
7,0.1818,0.1339,0.1827,0.1594,0.2063,0.1949,0.1985,0.1949,0.1985,0.1425,0.1337,0.2034,0.198,0.1425,0.1337,0.2064,0.2049,0.1614,0.0583,0.1843,0.0524,0.1848,0.0383
8,0.2046,0.1638,0.2061,0.1714,0.2256,0.2318,0.2285,0.2318,0.2285,0.156,0.1521,0.2376,0.2344,0.156,0.1521,0.2333,0.228,0.1828,0.0592,0.1949,0.0548,0.1947,0.0372
9,0.2267,0.1665,0.2314,0.1924,0.2504,0.257,0.2577,0.257,0.2577,0.1723,0.1685,0.2617,0.2643,0.1723,0.1685,0.2667,0.2625,0.1948,0.0601,0.2207,0.0542,0.2209,0.0402
10,0.2501,0.1945,0.2519,0.212,0.2768,0.2898,0.2936,0.2898,0.2936,0.1877,0.1907,0.294,0.2942,0.1877,0.1907,0.2917,0.2901,0.21,0.0622,0.2368,0.0624,0.2368,0.0359
