"nseq","Rayleigh","HR","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group"
1,0,0.0539,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0669,0.063,NA,NA,0.0521,0.0473,0.0715,0.0341,0.0678,0.0027
2,0.0709,0.0591,0,0.0032,0.0651,0.0668,0.0651,0.0668,0.0789,0.079,0.0613,0.0628,0.0789,0.079,0.0608,0.0596,0.0636,0.0473,0.0854,0.0407,0.0848,0.0333
3,0.0929,0.0756,0,0.0303,0.0924,0.0924,0.0924,0.0924,0.0856,0.0823,0.0886,0.0867,0.0856,0.0823,0.0906,0.0841,0.0875,0.0539,0.104,0.0499,0.1031,0.0317
4,0.1105,0.0914,0.2069,0.1071,0.1137,0.1098,0.1137,0.1098,0.0958,0.0915,0.1143,0.1111,0.0958,0.0915,0.1161,0.1105,0.1029,0.0532,0.1199,0.0473,0.1199,0.0344
5,0.1351,0.1081,0.1021,0.1454,0.1447,0.1314,0.1447,0.1314,0.1136,0.1113,0.1492,0.1376,0.1136,0.1113,0.1471,0.1348,0.1254,0.0546,0.1407,0.0505,0.1403,0.0348
6,0.1644,0.1253,0.113,0.1687,0.1757,0.179,0.1757,0.179,0.1299,0.133,0.1777,0.1794,0.1299,0.133,0.1663,0.1662,0.1439,0.0604,0.1602,0.0549,0.1605,0.0374
7,0.1784,0.1237,0.1571,0.1994,0.1993,0.1884,0.1993,0.1884,0.1414,0.1386,0.2045,0.1988,0.1414,0.1386,0.2077,0.2027,0.1594,0.0571,0.1832,0.0527,0.1831,0.036
8,0.2019,0.1437,0.1737,0.2261,0.2246,0.2155,0.2246,0.2155,0.1568,0.1599,0.2344,0.2237,0.1568,0.1599,0.2322,0.2519,0.1754,0.0587,0.1957,0.0541,0.1955,0.0358
9,0.2334,0.1736,0.2058,0.2555,0.2604,0.2672,0.2604,0.2672,0.1713,0.1633,0.2692,0.2799,0.1713,0.1633,0.2726,0.2657,0.1962,0.0582,0.2164,0.0546,0.2166,0.0445
10,0.25,0.1951,0.2173,0.2862,0.2806,0.2733,0.2806,0.2733,0.1854,0.1712,0.2913,0.2879,0.1854,0.1712,0.2989,0.3001,0.2076,0.0648,0.2313,0.0619,0.2316,0.0415
