"nseq","Rayleigh","HR","Model_comp","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group"
1,0,0.0242,0.0242,0,0,NA,NA,NA,NA,0.0464,0.0416,NA,NA,0.0464,0.0416,NA,NA,0.0504,0.0458,0.0403,0.0599,0.0385,0.0159
2,0.0262,0.0273,0.0237,0,0.0051,0.034,0.0335,0.034,0.0335,0.0521,0.0502,0.0624,0.0597,0.0521,0.0502,0.1058,0.1031,0.0632,0.0657,0.0405,0.1701,0.0413,0.2152
3,0.032,0.0439,0.0325,0,0.0784,0.0395,0.0378,0.0395,0.0378,0.0573,0.0538,0.1162,0.1074,0.0573,0.0538,0.343,0.3314,0.0954,0.0908,0.0438,0.2514,0.0443,0.2943
4,0.0374,0.0534,0.0378,0.5673,0.4042,0.0481,0.0429,0.0481,0.0429,0.0557,0.0513,0.1663,0.1596,0.0557,0.0513,0.5483,0.5432,0.1322,0.1097,0.0425,0.3328,0.0435,0.389
5,0.0396,0.065,0.0381,0.4541,0.5802,0.0538,0.0517,0.0538,0.0517,0.0593,0.0612,0.2081,0.2014,0.0593,0.0612,0.7007,0.7094,0.172,0.1373,0.0469,0.4117,0.0476,0.4833
6,0.0495,0.0743,0.0504,0.5367,0.6939,0.0635,0.0609,0.0635,0.0609,0.0651,0.0618,0.245,0.2434,0.0651,0.0618,0.8051,0.8003,0.2088,0.1578,0.0501,0.4826,0.0511,0.5749
7,0.0501,0.0832,0.0467,0.7014,0.7906,0.0724,0.0741,0.0724,0.0741,0.0657,0.062,0.2859,0.29,0.0657,0.062,0.8818,0.8735,0.2513,0.1788,0.0473,0.5348,0.0485,0.651
8,0.0588,0.1037,0.06,0.7634,0.8573,0.0844,0.0851,0.0844,0.0851,0.0629,0.0647,0.3291,0.3316,0.0629,0.0647,0.9272,0.9257,0.2926,0.2078,0.0492,0.6032,0.0498,0.7102
9,0.0655,0.1209,0.0701,0.8282,0.897,0.0975,0.1036,0.0975,0.1036,0.0646,0.067,0.3666,0.3673,0.0646,0.067,0.9533,0.9484,0.3329,0.226,0.0495,0.6446,0.0502,0.7688
10,0.0747,0.1341,0.0741,0.8706,0.9298,0.1116,0.111,0.1116,0.111,0.0722,0.0721,0.3948,0.3967,0.0722,0.0721,0.9718,0.9701,0.3592,0.2437,0.0535,0.6945,0.054,0.8182
