"nseq","Rayleigh","HR","Model_comp","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group"
1,0.0399,0.0426,0.0363,0.091,0.1227,0.054,0.0432,0.0544,0.0404,0.0425,0.0373,0.0557,0.0431,0.0482,0.0406,0.1364,0.1192,0.0384,0.0408,0.0356,0.0557,0.0385,0.1051
2,0.0376,0.0455,0.0371,0.185,0.2225,0.0443,0.0391,0.0428,0.0388,0.0375,0.0339,0.0504,0.0443,0.0452,0.0413,0.2271,0.2106,0.0373,0.0473,0.036,0.0671,0.0383,0.1685
3,0.039,0.0513,0.0402,0.2977,0.3298,0.0408,0.0373,0.0404,0.0375,0.0392,0.0385,0.046,0.0422,0.047,0.0459,0.3288,0.3125,0.0397,0.0464,0.0414,0.0728,0.0435,0.2426
4,0.0419,0.0502,0.0421,0.4075,0.4368,0.0454,0.0451,0.0463,0.0461,0.0389,0.0398,0.0522,0.0523,0.0451,0.0447,0.4375,0.4298,0.0381,0.0458,0.0374,0.0849,0.0407,0.3094
5,0.04,0.0467,0.0363,0.5029,0.5324,0.0435,0.0392,0.0441,0.0401,0.0351,0.0371,0.0495,0.0446,0.0422,0.0438,0.5293,0.526,0.0337,0.0435,0.0381,0.0851,0.0407,0.3685
6,0.0395,0.0508,0.0416,0.591,0.6197,0.044,0.0441,0.0444,0.0445,0.0369,0.0374,0.0495,0.0496,0.0442,0.0451,0.6154,0.6099,0.0365,0.0472,0.0382,0.1037,0.0418,0.4339
7,0.0393,0.0492,0.0382,0.6731,0.6976,0.041,0.0393,0.0411,0.0388,0.038,0.0366,0.0481,0.0456,0.0454,0.0439,0.6981,0.6981,0.0409,0.046,0.0414,0.1126,0.0438,0.4987
8,0.0369,0.0536,0.0367,0.7426,0.7659,0.0385,0.0378,0.0383,0.0379,0.0376,0.0365,0.0452,0.0438,0.0449,0.0433,0.7639,0.7586,0.037,0.0442,0.0409,0.1173,0.0437,0.5534
9,0.0389,0.058,0.0398,0.7952,0.8165,0.0399,0.0419,0.04,0.042,0.0361,0.034,0.0456,0.0471,0.0432,0.0411,0.8138,0.8051,0.0347,0.0464,0.0361,0.1288,0.0391,0.6088
10,0.0435,0.0571,0.0429,0.8334,0.8508,0.0452,0.0432,0.0456,0.0429,0.0375,0.0375,0.0514,0.0494,0.0454,0.0454,0.8503,0.8488,0.0402,0.0453,0.0378,0.1403,0.04,0.6472
