"nseq","Rayleigh","HR","Model_comp","Watson_two_sample","G.test","MANOVA_intercept","MANOVA_random_intercept","MANOVA_linear_interceptP","MANOVA_random_linear_interceptP","MANOVA_linear_covariateP","MANOVA_random_linear_covariateP","MANOVA_linear_group_interceptP","MANOVA_random_linear_group_interceptP","MANOVA_linear_group_covariateP","MANOVA_random_linear_group_covariateP","MANOVA_linear_group_groupP","MANOVA_random_linear_group_groupP","LM_P_intercept","LM_lin_P_intercept","LM_lin_P_lin","LM_lin_group_P_intercept","LM_lin_group_P_lin","LM_lin_group_P_group"
1,0.1844,0.14,0.1871,0.1559,0.2122,0.2072,0.1737,0.1989,0.1664,0.0522,0.0449,0.209,0.1775,0.0579,0.0499,0.2133,0.179,0.2428,0.0645,0.0486,0.0701,0.0478,0.0664
2,0.3982,0.3111,0.4062,0.3584,0.4439,0.3967,0.3807,0.3962,0.3765,0.0571,0.0529,0.4566,0.4366,0.0712,0.0658,0.4435,0.416,0.4653,0.0791,0.0651,0.1203,0.068,0.109
3,0.5816,0.4816,0.585,0.5713,0.6387,0.5795,0.5739,0.5816,0.575,0.0819,0.0765,0.6438,0.636,0.0991,0.0945,0.6434,0.6283,0.6409,0.1005,0.0963,0.1564,0.0995,0.1551
4,0.7265,0.6281,0.7226,0.7246,0.7778,0.7237,0.7114,0.7263,0.7154,0.0956,0.0904,0.7866,0.7718,0.1074,0.1032,0.7804,0.7777,0.7799,0.1241,0.1134,0.2134,0.1171,0.2101
5,0.8337,0.761,0.8343,0.8314,0.8749,0.8335,0.8325,0.836,0.8328,0.1157,0.1055,0.8758,0.8744,0.1321,0.123,0.8779,0.8764,0.8743,0.145,0.1376,0.2635,0.1409,0.2386
6,0.9034,0.8417,0.9019,0.9022,0.931,0.9023,0.9003,0.9044,0.9015,0.1218,0.1227,0.9314,0.9293,0.1399,0.1404,0.9359,0.938,0.9259,0.1722,0.1533,0.3137,0.1565,0.284
7,0.9452,0.9048,0.9486,0.9446,0.9609,0.9428,0.9433,0.9432,0.9445,0.1404,0.1384,0.9623,0.963,0.1603,0.1594,0.9629,0.963,0.96,0.1907,0.1737,0.3534,0.1788,0.3242
8,0.9727,0.9432,0.9711,0.9668,0.9795,0.9716,0.9703,0.9723,0.9711,0.1602,0.1638,0.9833,0.9827,0.1826,0.186,0.9802,0.9806,0.9785,0.21,0.198,0.4093,0.2035,0.3794
9,0.9862,0.9675,0.9834,0.9834,0.9894,0.9845,0.9845,0.9857,0.9857,0.1796,0.1735,0.9909,0.9909,0.1996,0.1931,0.9909,0.9901,0.9876,0.2195,0.2245,0.4318,0.2307,0.4193
10,0.9934,0.9834,0.991,0.9908,0.9942,0.9934,0.9934,0.9937,0.9936,0.1962,0.1909,0.9964,0.9964,0.2179,0.2123,0.9949,0.9947,0.9941,0.2577,0.2441,0.4884,0.2483,0.4539
